__  Vanity of vanities __  _ says the Preacher _ __ Vanity of vanities! All is vanity. __  ,__  Vanity of vanities __  _ says the Preacher _ __ Vanity of vanities! All is vanity. __  
This is an evil in all that is done under the sun _ that there is one fate for all men. Furthermore _ the hearts of the sons of men are full of evil and insanity is in their hearts throughout their lives. Afterwards they  _ go _ to the dead. ,This is an evil in all that is done under the sun _ that there is one fate for all men. Furthermore _ the hearts of the sons of men are full of evil and insanity is in their hearts throughout their lives. Afterwards they  _ go _ to the dead. 
For whoever is joined with all the living _ there is hope _ surely a live dog is better than a dead lion. ,For whoever is joined with all the living _ there is hope _ surely a live dog is better than a dead lion. 
For the living know they will die _ but the dead do not know anything _ nor have they any longer a reward _ for their memory is forgotten. ,For the living know they will die _ but the dead do not know anything _ nor have they any longer a reward _ for their memory is forgotten. 
Indeed their love _ their hate and their zeal have already perished _ and they will no longer have a share in all that is done under the sun. ,Indeed their love _ their hate and their zeal have already perished _ and they will no longer have a share in all that is done under the sun. 
Go  _ then __  eat your bread in happiness and drink your wine with a cheerful heart _ for God has already approved your works. ,Go  _ then __  eat your bread in happiness and drink your wine with a cheerful heart _ for God has already approved your works. 
Let your clothes be white all the time _ and let not oil be lacking on your head. ,Let your clothes be white all the time _ and let not oil be lacking on your head. 
Enjoy life with the woman whom you love all the days of your fleeting life which He has given to you under the sun _ for this is your reward in life and in your toil in which you have labored under the sun. ,Enjoy life with the woman whom you love all the days of your fleeting life which He has given to you under the sun _ for this is your reward in life and in your toil in which you have labored under the sun. 
Whatever your hand finds to do _ do  _ it _ with  _ all _ your might _ for there is no activity or planning or knowledge or wisdom in Sheol where you are going. ,Whatever your hand finds to do _ do  _ it _ with  _ all _ your might _ for there is no activity or planning or knowledge or wisdom in Sheol where you are going. 
I again saw under the sun that the race is not to the swift and the battle is not to the warriors _ and neither is bread to the wise nor wealth to the discerning nor favor to men of ability _ for time and chance overtake them all. ,I again saw under the sun that the race is not to the swift and the battle is not to the warriors _ and neither is bread to the wise nor wealth to the discerning nor favor to men of ability _ for time and chance overtake them all. 
Moreover _ man does not know his time: like fish caught in a treacherous net and birds trapped in a snare _ so the sons of men are ensnared at an evil time when it suddenly falls on them. ,Moreover _ man does not know his time: like fish caught in a treacherous net and birds trapped in a snare _ so the sons of men are ensnared at an evil time when it suddenly falls on them. 
Also this I came to see as wisdom under the sun _ and it impressed me. ,Also this I came to see as wisdom under the sun _ and it impressed me. 
There was a small city with few men in it and a great king came to it _ surrounded it and constructed large siegeworks against it. ,There was a small city with few men in it and a great king came to it _ surrounded it and constructed large siegeworks against it. 
But there was found in it a poor wise man and he delivered the city by his wisdom. Yet no one remembered that poor man. ,But there was found in it a poor wise man and he delivered the city by his wisdom. Yet no one remembered that poor man. 
So I said _ __  Wisdom is better than strength. __  But the wisdom of the poor man is despised and his words are not heeded. ,So I said _ __  Wisdom is better than strength. __  But the wisdom of the poor man is despised and his words are not heeded. 
The words of the wise heard in quietness are  _ better _ than the shouting of a ruler among fools. ,The words of the wise heard in quietness are  _ better _ than the shouting of a ruler among fools. 
Wisdom is better than weapons of war _ but one sinner destroys much good. ,Wisdom is better than weapons of war _ but one sinner destroys much good. 
Dead flies make a perfumer _ s oil stink _ so a little foolishness is weightier than wisdom  _ and _ honor. ,Dead flies make a perfumer _ s oil stink _ so a little foolishness is weightier than wisdom  _ and _ honor. 
A wise man _ s heart  _ directs him _ toward the right _ but the foolish man _ s heart  _ directs him _ toward the left. ,A wise man _ s heart  _ directs him _ toward the right _ but the foolish man _ s heart  _ directs him _ toward the left. 
Even when the fool walks along the road _ his sense is lacking and he demonstrates to everyone  _ that _ he is a fool. ,Even when the fool walks along the road _ his sense is lacking and he demonstrates to everyone  _ that _ he is a fool. 
If the ruler _ s temper rises against you _ do not abandon your position _ because composure allays great offenses. ,If the ruler _ s temper rises against you _ do not abandon your position _ because composure allays great offenses. 
There is an evil I have seen under the sun _ like an error which goes forth from the ruler— ,There is an evil I have seen under the sun _ like an error which goes forth from the ruler— 
folly is set in many exalted places while rich men sit in humble places. ,folly is set in many exalted places while rich men sit in humble places. 
I have seen slaves  _ riding _ on horses and princes walking like slaves on the land. ,I have seen slaves  _ riding _ on horses and princes walking like slaves on the land. 
He who digs a pit may fall into it _ and a serpent may bite him who breaks through a wall. ,He who digs a pit may fall into it _ and a serpent may bite him who breaks through a wall. 
He who quarries stones may be hurt by them _ and he who splits logs may be endangered by them. ,He who quarries stones may be hurt by them _ and he who splits logs may be endangered by them. 
If the axe is dull and he does not sharpen  _ its _ edge _ then he must exert more strength. Wisdom has the advantage of giving success. ,If the axe is dull and he does not sharpen  _ its _ edge _ then he must exert more strength. Wisdom has the advantage of giving success. 
If the serpent bites before being charmed _ there is no profit for the charmer. ,If the serpent bites before being charmed _ there is no profit for the charmer. 
Words from the mouth of a wise man are gracious _ while the lips of a fool consume him,Words from the mouth of a wise man are gracious _ while the lips of a fool consume him
the beginning of his talking is folly and the end of it is wicked madness. ,the beginning of his talking is folly and the end of it is wicked madness. 
Yet the fool multiplies words. No man knows what will happen _ and who can tell him what will come after him? ,Yet the fool multiplies words. No man knows what will happen _ and who can tell him what will come after him? 
The toil of a fool  _ so _ wearies him that he does not  _ even _ know how to go to a city. ,The toil of a fool  _ so _ wearies him that he does not  _ even _ know how to go to a city. 
Woe to you _ O land _ whose king is a lad and whose princes feast in the morning. ,Woe to you _ O land _ whose king is a lad and whose princes feast in the morning. 
Blessed are you _ O land _ whose king is of nobility and whose princes eat at the appropriate time--for strength and not for drunkenness. ,Blessed are you _ O land _ whose king is of nobility and whose princes eat at the appropriate time--for strength and not for drunkenness. 
Through indolence the rafters sag _ and through slackness the house leaks. ,Through indolence the rafters sag _ and through slackness the house leaks. 
_ Men _ prepare a meal for enjoyment _ and wine makes life merry _ and money is the answer to everything. ,_ Men _ prepare a meal for enjoyment _ and wine makes life merry _ and money is the answer to everything. 
Furthermore _ in your bedchamber do not curse a king _ and in your sleeping rooms do not curse a rich man _ for a bird of the heavens will carry the sound and the winged creature will make the matter known. ,Furthermore _ in your bedchamber do not curse a king _ and in your sleeping rooms do not curse a rich man _ for a bird of the heavens will carry the sound and the winged creature will make the matter known. 
Cast your bread on the surface of the waters _ for you will find it after many days. ,Cast your bread on the surface of the waters _ for you will find it after many days. 
Divide your portion to seven _ or even to eight _ for you do not know what misfortune may occur on the earth. ,Divide your portion to seven _ or even to eight _ for you do not know what misfortune may occur on the earth. 
If the clouds are full _ they pour out rain upon the earth _ and whether a tree falls toward the south or toward the north _ wherever the tree falls _ there it lies. ,If the clouds are full _ they pour out rain upon the earth _ and whether a tree falls toward the south or toward the north _ wherever the tree falls _ there it lies. 
He who watches the wind will not sow and he who looks at the clouds will not reap. ,He who watches the wind will not sow and he who looks at the clouds will not reap. 
Just as you do not know the path of the wind and how bones  _ are formed _ in the womb of the pregnant woman _ so you do not know the activity of God who makes all things. ,Just as you do not know the path of the wind and how bones  _ are formed _ in the womb of the pregnant woman _ so you do not know the activity of God who makes all things. 
Sow your seed in the morning and do not be idle in the evening _ for you do not know whether morning or evening sowing will succeed _ or whether both of them alike will be good. ,Sow your seed in the morning and do not be idle in the evening _ for you do not know whether morning or evening sowing will succeed _ or whether both of them alike will be good. 
The light is pleasant _ and  _ it is _ good for the eyes to see the sun. ,The light is pleasant _ and  _ it is _ good for the eyes to see the sun. 
Indeed _ if a man should live many years _ let him rejoice in them all _ and let him remember the days of darkness _ for they will be many. Everything that is to come  _ will be _ futility. ,Indeed _ if a man should live many years _ let him rejoice in them all _ and let him remember the days of darkness _ for they will be many. Everything that is to come  _ will be _ futility. 
Rejoice _ young man _ during your childhood _ and let your heart be pleasant during the days of young manhood. And follow the impulses of your heart and the desires of your eyes. Yet know that God will bring you to judgment for all these things. ,Rejoice _ young man _ during your childhood _ and let your heart be pleasant during the days of young manhood. And follow the impulses of your heart and the desires of your eyes. Yet know that God will bring you to judgment for all these things. 
So _ remove grief and anger from your heart and put away pain from your body _ because childhood and the prime of life are fleeting. ,So _ remove grief and anger from your heart and put away pain from your body _ because childhood and the prime of life are fleeting. 
Remember also your Creator in the days of your youth _ before the evil days come and the years draw near when you will say _ __ I have no delight in them __ ,Remember also your Creator in the days of your youth _ before the evil days come and the years draw near when you will say _ __ I have no delight in them __ 
before the sun and the light _ the moon and the stars are darkened _ and clouds return after the rain,before the sun and the light _ the moon and the stars are darkened _ and clouds return after the rain
in the day that the watchmen of the house tremble _ and mighty men stoop _ the grinding ones stand idle because they are few _ and those who look through windows grow dim,in the day that the watchmen of the house tremble _ and mighty men stoop _ the grinding ones stand idle because they are few _ and those who look through windows grow dim
and the doors on the street are shut as the sound of the grinding mill is low _ and one will arise at the sound of the bird _ and all the daughters of song will sing softly. ,and the doors on the street are shut as the sound of the grinding mill is low _ and one will arise at the sound of the bird _ and all the daughters of song will sing softly. 
Furthermore _ men are afraid of a high place and of terrors on the road _ the almond tree blossoms _ the grasshopper drags himself along _ and the caperberry is ineffective. For man goes to his eternal home while mourners go about in the street. ,Furthermore _ men are afraid of a high place and of terrors on the road _ the almond tree blossoms _ the grasshopper drags himself along _ and the caperberry is ineffective. For man goes to his eternal home while mourners go about in the street. 
_ Remember Him _ before the silver cord is broken and the golden bowl is crushed _ the pitcher by the well is shattered and the wheel at the cistern is crushed,_ Remember Him _ before the silver cord is broken and the golden bowl is crushed _ the pitcher by the well is shattered and the wheel at the cistern is crushed
then the dust will return to the earth as it was _ and the spirit will return to God who gave it. ,then the dust will return to the earth as it was _ and the spirit will return to God who gave it. 
__  Vanity of vanities __  _ says the Preacher _ __ all is vanity! __  ,__  Vanity of vanities __  _ says the Preacher _ __ all is vanity! __  
In addition to being a wise man _ the Preacher also taught the people knowledge _ and he pondered _ searched out and arranged many proverbs. ,In addition to being a wise man _ the Preacher also taught the people knowledge _ and he pondered _ searched out and arranged many proverbs. 
The Preacher sought to find delightful words and to write words of truth correctly. ,The Preacher sought to find delightful words and to write words of truth correctly. 
The words of wise men are like goads _ and masters of  _ these _ collections are like well-driven nails _ they are given by one Shepherd. ,The words of wise men are like goads _ and masters of  _ these _ collections are like well-driven nails _ they are given by one Shepherd. 
But beyond this _ my son _ be warned: the writing of many books is endless _ and excessive devotion  _ to books _ is wearying to the body. ,But beyond this _ my son _ be warned: the writing of many books is endless _ and excessive devotion  _ to books _ is wearying to the body. 
The conclusion _ when all has been heard _  _ is: _ fear God and keep His commandments _ because this  _ applies to _ every person. ,The conclusion _ when all has been heard _  _ is: _ fear God and keep His commandments _ because this  _ applies to _ every person. 
For God will bring every act to judgment _ everything which is hidden _ whether it is good or evil. ,For God will bring every act to judgment _ everything which is hidden _ whether it is good or evil. 
